Provider ID,Hospital Name,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
10131,CRESTWOOD MEDICAL CENTER,35801,MADISON,Acute Care Hospitals,Proprietary,1,3,1,3,2,2,2,2,2
10139,BROOKWOOD MEDICAL CENTER,35209,JEFFERSON,Acute Care Hospitals,Proprietary,1,3,2,2,2,2,3,2,2
10144,SPRINGHILL MEMORIAL HOSPITAL,36608,MOBILE,Acute Care Hospitals,Proprietary,1,2,2,1,2,1,2,2,1
10149,BAPTIST MEDICAL CENTER EAST,36117,MONTGOMERY,Acute Care Hospitals,Government - Hospital District or Authority,1,5,2,3,3,3,2,1,2
10150,L V STABLER MEMORIAL HOSPITAL,36037,BUTLER,Acute Care Hospitals,Proprietary,1,3,2,2,2,2,2,3,2
10157,SHOALS HOSPITAL,35661,COLBERT,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,2,2,1
10158,RUSSELLVILLE HOSPITAL,35653,FRANKLIN,Acute Care Hospitals,Proprietary,1,3,2,2,1,2,3,3,2
10164,COOSA VALLEY MEDICAL CENTER,35150,TALLADEGA,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,1,2,2,3,2,2
20001,PROVIDENCE ALASKA MEDICAL CENTER,99508,ANCHORAGE,Acute Care Hospitals,Voluntary non-profit - Church,1,3,2,1,3,1,1,1,2
20006,MAT-SU REGIONAL MEDICAL CENTER,99645,MATANUSKA SUSITNA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,1,3,2,2
20012,FAIRBANKS MEMORIAL HOSPITAL,99701,FAIRBANKS NORTH STAR,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,1,3,3,1,2,2
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,85006,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,2,2,1,2,2
30006,TUCSON MEDICAL CENTER,85712,PIMA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,3,1,2,1,2
30007,VERDE VALLEY MEDICAL CENTER,86326,YAVAPAI,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,2,3,3,3,2,3
30010,ST. MARY'S HOSPITAL,85745,PIMA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,3,1,3,1,2
30011,ST JOSEPH'S HOSPITAL,85711,PIMA,Acute Care Hospitals,Voluntary non-profit - Other,1,3,1,3,3,1,2,1,2
30012,YAVAPAI REGIONAL MEDICAL CENTER,86301,YAVAPAI,Acute Care Hospitals,Government - Local,1,2,1,1,2,2,1,2,2
30013,YUMA REGIONAL MEDICAL CENTER,85364,YUMA,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,3,1,1,2,1,1
30014,JOHN C. LINCOLN MEDICAL CENTER,85020,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,3,1,3,2,2
30016,BANNER CASA GRANDE MEDICAL CENTER,85222,PINAL,Acute Care Hospitals,Voluntary non-profit - Other,1,2,2,1,2,1,2,2,1
30023,FLAGSTAFF MEDICAL CENTER,86001,COCONINO,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,1,3,3,3,1,2
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,85013,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Church,1,3,3,1,3,2,3,1,2
30033,BANNER PAYSON MEDICAL CENTER,85541,GILA,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,2,1,2,2,2
30036,CHANDLER REGIONAL MEDICAL CENTER,85224,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Other,1,4,3,1,3,1,3,2,3
30038,SCOTTSDALE OSBORN MEDICAL CENTER,85251,MARICOPA,Acute Care Hospitals,Proprietary,1,3,2,1,2,1,2,3,3
30043,CANYON VISTA MEDICAL CENTER,85635,COCHISE,Acute Care Hospitals,Voluntary non-profit - Other,1,1,2,1,2,1,2,1,2
30055,KINGMAN REGIONAL MEDICAL CENTER,86409,MOHAVE,Acute Care Hospitals,Government - Hospital District or Authority,1,2,3,2,1,2,1,2,1
30061,BANNER BOSWELL MEDICAL CENTER,85351,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Other,1,4,2,3,3,2,1,2,3
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,85901,NAVAJO,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,1,3,3,1,2,1
30064,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,85724,PIMA,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,1,1,2,1,3
30065,BANNER DESERT MEDICAL CENTER,85202,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,1,1,2,2,2
30068,MT. GRAHAM REGIONAL MEDICAL CENTER,85546,GRAHAM,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,2,2,1,2,2
30069,HAVASU REGIONAL MEDICAL CENTER,86403,MOHAVE,Acute Care Hospitals,Proprietary,1,2,2,2,1,1,3,3,1
30085,NORTHWEST MEDICAL CENTER,85741,PIMA,Acute Care Hospitals,Proprietary,1,3,1,3,3,1,3,1,2
30087,SCOTTSDALE SHEA MEDICAL CENTER,85260,MARICOPA,Acute Care Hospitals,Proprietary,1,3,2,1,3,2,1,3,3
30088,BANNER BAYWOOD MEDICAL CENTER,85206,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,0,4,3,3,3,2,2,2,3
30089,BANNER THUNDERBIRD MEDICAL CENTER,85306,MARICOPA,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,1,3,2,1,1,3
30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,85027,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,2,1,2,3,2
30093,BANNER DEL E WEBB MEDICAL CENTER,85375,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,3,3,2,2,2,2
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,86442,MOHAVE,Acute Care Hospitals,Proprietary,1,2,2,3,1,1,3,1,1
30103,MAYO CLINIC HOSPITAL,85054,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,1,5,3,3,3,3,3,2,2
30110,ABRAZO WEST CAMPUS,85395,MARICOPA,Acute Care Hospitals,Proprietary,1,2,2,1,2,1,2,2,2
30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,85713,PIMA,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,2,1,2,1,2
30114,ORO VALLEY HOSPITAL,85755,PIMA,Acute Care Hospitals,Proprietary,1,3,2,1,2,2,2,1,2
30115,BANNER ESTRELLA MEDICAL CENTER,85037,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,2,3,2,2,1,3
30117,VALLEY VIEW MEDICAL CENTER,86426,MOHAVE,Acute Care Hospitals,Proprietary,1,3,2,2,2,2,2,2,1
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS,86314,YAVAPAI,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,3,3,1,2,1
30119,MERCY GILBERT MEDICAL CENTER,85296,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Church,1,4,3,3,2,1,3,2,3
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",85209,MARICOPA,Acute Care Hospitals,Proprietary,1,1,2,1,2,1,2,1,2
30122,BANNER GATEWAY MEDICAL CENTER,85234,MARICOPA,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,1,3,1,2,3
30123,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,85255,MARICOPA,Acute Care Hospitals,Proprietary,1,4,3,2,3,2,1,3,3
40004,WASHINGTON REGIONAL MEDICAL CENTER,72703,WASHINGTON,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,3,3,2,3,2,2
40007,CHI-ST VINCENT INFIRMARY,72205,PULASKI,Acute Care Hospitals,Voluntary non-profit - Private,1,2,1,1,1,1,1,2,2
40010,MERCY HOSPITAL NORTHWEST ARKANSAS,72758,BENTON,Acute Care Hospitals,Voluntary non-profit - Church,1,4,2,3,3,2,3,2,2
40014,WHITE COUNTY MEDICAL CENTER,72143,WHITE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,3,2,3,3,3,1
40015,MENA REGIONAL HEALTH SYSTEM,71953,POLK,Acute Care Hospitals,Government - Local,1,3,1,2,2,2,2,3,2
40016,UAMS MEDICAL CENTER,72205,PULASKI,Acute Care Hospitals,Government - State,1,1,2,1,1,1,2,1,3
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,72601,BOONE,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,3,3,2,2,3,1
40019,FORREST CITY MEDICAL CENTER,72335,SAINT FRANCIS,Acute Care Hospitals,Proprietary,1,2,2,2,2,1,2,3,2
40020,ST BERNARDS MEDICAL CENTER,72401,CRAIGHEAD,Acute Care Hospitals,Voluntary non-profit - Private,1,1,1,1,1,2,2,2,1
40022,NORTHWEST MEDICAL CENTER-SPRINGDALE,72764,WASHINGTON,Acute Care Hospitals,Proprietary,1,3,1,3,1,1,3,2,2
40026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,71903,GARLAND,Acute Care Hospitals,Voluntary non-profit - Church,1,2,1,2,1,1,2,2,2
40027,BAXTER REGIONAL MEDICAL CENTER,72653,BAXTER,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,3,3,2,2,3,2
40029,CONWAY REGIONAL MEDICAL CENTER,72034,FAULKNER,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,3,3,2,2,3,2
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,72117,PULASKI,Acute Care Hospitals,Voluntary non-profit - Private,1,2,1,3,1,2,3,2,3
40039,ARKANSAS METHODIST MEDICAL CENTER,72450,GREENE,Acute Care Hospitals,Voluntary non-profit - Private,1,2,1,2,1,2,1,2,1
40041,ST MARYS REGIONAL MEDICAL CENTER,72801,POPE,Acute Care Hospitals,Proprietary,1,3,2,3,2,1,2,2,2
40050,OUACHITA COUNTY MEDICAL CENTER,71701,OUACHITA,Acute Care Hospitals,Voluntary non-profit - Private,1,4,2,2,3,3,2,2,2
40051,DREW MEMORIAL HOSPITAL,71655,DREW,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,2,2,2,1,2,1
40055,SPARKS REGIONAL MEDICAL CENTER,72902,SEBASTIAN,Acute Care Hospitals,Proprietary,1,2,1,1,1,1,2,2,1
40062,ST EDWARD MERCY MEDICAL CENTER,72917,SEBASTIAN,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,3,1,2,2,2,1
40067,MAGNOLIA HOSPITAL,71754,COLUMBIA,Acute Care Hospitals,Government - Local,1,2,2,2,2,2,1,2,2
40069,GREAT RIVER MEDICAL CENTER,72315,MISSISSIPPI,Acute Care Hospitals,Voluntary non-profit - Other,1,2,2,2,1,1,2,3,2
40071,JEFFERSON REGIONAL MEDICAL CENTER,71603,JEFFERSON,Acute Care Hospitals,Voluntary non-profit - Private,1,2,1,3,1,1,3,3,1
40076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,72104,HOT SPRING,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,1,3,2,3,2
40078,NATIONAL PARK MEDICAL CENTER,71901,GARLAND,Acute Care Hospitals,Proprietary,1,2,1,2,1,2,2,2,2
40084,SALINE MEMORIAL HOSPITAL,72015,SALINE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,1,1,1,3,2
40088,MEDICAL CENTER SOUTH ARKANSAS,71731,UNION,Acute Care Hospitals,Proprietary,1,3,1,2,3,1,3,3,2
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,72205,PULASKI,Acute Care Hospitals,Voluntary non-profit - Private,1,3,1,3,1,2,2,2,3
40119,WHITE RIVER MEDICAL CENTER,72503,INDEPENDENCE,Acute Care Hospitals,Voluntary non-profit - Private,1,2,1,2,1,2,3,3,1
40134,"ARKANSAS HEART HOSPITAL, LLC",72211,PULASKI,Acute Care Hospitals,Proprietary,1,4,2,3,1,3,2,3,2
40137,ST VINCENT MEDICAL CENTER/NORTH,72120,PULASKI,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,2,2,1,2,3,2
50002,ST ROSE HOSPITAL,94545,ALAMEDA,Acute Care Hospitals,Voluntary non-profit - Church,1,1,2,2,1,1,2,1,2
50006,ST JOSEPH HOSPITAL,95501,HUMBOLDT,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,3,1,2,1,1
50007,MILLS-PENINSULA MEDICAL CENTER,94010,SAN MATEO,Acute Care Hospitals,Voluntary non-profit - Private,1,4,3,2,3,3,3,2,2
50009,QUEEN OF THE VALLEY MEDICAL CENTER,94558,NAPA,Acute Care Hospitals,Voluntary non-profit - Church,1,3,2,1,3,2,2,1,1
50013,ST HELENA HOSPITAL,94574,NAPA,Acute Care Hospitals,Voluntary non-profit - Private,0,3,2,1,3,3,2,2,2
50017,MERCY GENERAL HOSPITAL,95819,SACRAMENTO,Acute Care Hospitals,Voluntary non-profit - Church,1,3,2,1,1,3,3,1,2
50022,RIVERSIDE COMMUNITY HOSPITAL,92501,RIVERSIDE,Acute Care Hospitals,Government - State,1,2,2,3,1,1,3,1,2
50025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,92103,SAN DIEGO,Acute Care Hospitals,Voluntary non-profit - Other,1,3,3,1,2,2,2,1,2
50026,GROSSMONT HOSPITAL,91942,SAN DIEGO,Acute Care Hospitals,Government - Hospital District or Authority,1,3,1,3,3,1,3,1,2
50030,OROVILLE HOSPITAL,95966,BUTTE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3,3,1,1,2,1,2
50036,BAKERSFIELD MEMORIAL HOSPITAL,93301,KERN,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,1,1,3,1,2
50038,SANTA CLARA VALLEY MEDICAL CENTER,95128,SANTA CLARA,Acute Care Hospitals,Government - Local,1,2,2,2,2,1,2,1,1
50039,ENLOE MEDICAL CENTER,95926,BUTTE,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,3,1,3,2,2,3
50042,ST ELIZABETH COMMUNITY HOSPITAL,96080,TEHAMA,Acute Care Hospitals,Voluntary non-profit - Church,1,3,1,3,2,2,2,2,2
50043,ALTA BATES SUMMIT MEDICAL CENTER,94609,ALAMEDA,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3,1,3,1,3,1,2
50045,EL CENTRO REGIONAL MEDICAL CENTER,92243,IMPERIAL,Acute Care Hospitals,Voluntary non-profit - Other,1,2,2,2,1,1,1,1,2
50047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,94115,SAN FRANCISCO,Acute Care Hospitals,Voluntary non-profit - Private,1,4,3,2,3,1,3,1,2
50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,94110,SAN FRANCISCO,Acute Care Hospitals,Voluntary non-profit - Church,1,2,2,1,2,1,2,1,2
50056,ANTELOPE VALLEY HOSPITAL,93534,LOS ANGELES,Acute Care Hospitals,Government - Hospital District or Authority,1,1,1,1,2,1,2,1,2
50057,KAWEAH DELTA MEDICAL CENTER,93291,TULARE,Acute Care Hospitals,Government - Hospital District or Authority,1,4,2,3,3,1,2,1,2
50058,GLENDALE MEM HOSPITAL & HLTH CENTER,91204,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3,3,1,1,2,2,2
50060,COMMUNITY REGIONAL MEDICAL CENTER,93721,FRESNO,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,1,1,2,1,2
50063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,90027,LOS ANGELES,Acute Care Hospitals,Proprietary,1,2,3,2,1,1,2,1,2
50069,ST JOSEPH HOSPITAL,92868,ORANGE,Acute Care Hospitals,Voluntary non-profit - Church,1,2,1,1,2,3,2,1,2
50077,SCRIPPS MERCY HOSPITAL,92103,SAN DIEGO,Acute Care Hospitals,Voluntary non-profit - Private,1,3,3,3,1,1,2,1,3
50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,90732,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,1,3,2,2,2,2,2,2,2
50082,ST JOHNS REGIONAL MEDICAL CENTER,93030,VENTURA,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,1,2,1,3,1,2
50084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,95204,SAN JOAQUIN,Acute Care Hospitals,Voluntary non-profit - Church,1,2,1,2,1,1,3,1,2
50090,SONOMA VALLEY HOSPITAL,95476,SONOMA,Acute Care Hospitals,Government - Hospital District or Authority,1,4,2,2,3,2,2,2,2
50093,SAINT AGNES MEDICAL CENTER,93710,FRESNO,Acute Care Hospitals,Voluntary non-profit - Church,1,2,1,2,2,1,2,1,3
50099,SAN ANTONIO REGIONAL HOSPITAL,91786,SAN BERNARDINO,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,1,1,3,1,1
50100,SHARP MEMORIAL HOSPITAL,92123,SAN DIEGO,Acute Care Hospitals,Voluntary non-profit - Other,1,4,2,3,3,3,3,2,3
50103,WHITE MEMORIAL MEDICAL CENTER,90033,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Church,1,3,3,1,2,1,2,1,2
50104,SAINT FRANCIS MEDICAL CENTER,90262,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Church,1,3,3,3,3,1,2,1,2
50107,MARIAN REGIONAL MEDICAL CENTER,93454,SANTA BARBARA,Acute Care Hospitals,Voluntary non-profit - Church,1,3,1,3,2,2,3,2,2
50110,LOMPOC VALLEY MEDICAL CENTER,93436,SANTA BARBARA,Acute Care Hospitals,Government - Hospital District or Authority,1,2,2,2,2,1,2,2,2
50112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,90404,LOS ANGELES,Acute Care Hospitals,Government - State,1,4,3,3,1,2,2,1,2
50115,PALOMAR HEALTH DOWNTOWN CAMPUS,92025,SAN DIEGO,Acute Care Hospitals,Government - Hospital District or Authority,1,3,2,2,3,2,3,1,3
50118,DOCTORS HOSPITAL OF MANTECA,95336,SAN JOAQUIN,Acute Care Hospitals,Proprietary,1,3,2,3,2,1,2,2,2
50121,ADVENTIST MEDICAL CENTER,93230,KINGS,Acute Care Hospitals,Voluntary non-profit - Church,1,2,1,3,1,1,2,1,1
50124,USC VERDUGO HILLS HOSPITAL,91209,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,1,2,2,2,2,1,1,1,2
50125,REGIONAL MEDICAL CENTER OF SAN JOSE,95116,SANTA CLARA,Acute Care Hospitals,Voluntary non-profit - Church,1,2,3,1,1,1,3,1,3
50126,VALLEY PRESBYTERIAN HOSPITAL,91406,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Other,1,2,2,1,1,1,1,1,2
50127,WOODLAND MEMORIAL HOSPITAL,95695,YOLO,Acute Care Hospitals,Voluntary non-profit - Other,1,3,1,2,2,2,3,2,2
50128,TRI-CITY MEDICAL CENTER,92056,SAN DIEGO,Acute Care Hospitals,Government - Hospital District or Authority,1,2,1,2,3,1,2,1,2
50131,NOVATO COMMUNITY HOSPITAL,94945,MARIN,Acute Care Hospitals,Voluntary non-profit - Other,1,4,2,2,3,3,2,2,2
50132,SAN GABRIEL VALLEY MEDICAL CENTER,91776,LOS ANGELES,Acute Care Hospitals,Physician,1,4,3,3,3,1,3,2,2
50133,RIDEOUT MEMORIAL HOSPITAL,95901,YUBA,Acute Care Hospitals,Voluntary non-profit - Private,1,1,1,1,2,1,2,1,3
50136,PETALUMA VALLEY HOSPITAL,94954,SONOMA,Acute Care Hospitals,Voluntary non-profit - Other,1,3,2,2,3,2,2,1,2
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,93940,MONTEREY,Acute Care Hospitals,Voluntary non-profit - Private,1,5,2,2,3,3,2,2,3
